longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,datetime.X1,datetime.X2,datetime.X3,weekdays
-73.844311,40.721319,-73.84161,40.712278,15-06-2009,17:26:21,UTC,Monday
-74.016048,40.711303,-73.979268,40.782004,16-06-2009,16:52:16,UTC,Tuesday
-73.982738,40.76127,-73.991242,40.750562,17-06-2009,00:35:00,UTC,Wednesday
-73.98713,40.733143,-73.991567,40.758092,18-06-2009,04:30:42,UTC,Thursday
-73.968095,40.768008,-73.956655,40.783762,19-06-2009,07:51:00,UTC,Friday
-74.000964,40.73163,-73.972892,40.758233,20-06-2009,09:50:45,UTC,Saturday
-73.980002,40.751662,-73.973802,40.764842,21-06-2009,20:35:00,UTC,Sunday
-73.9513,40.774138,-73.990095,40.751048,22-06-2009,17:22:00,UTC,Monday
-74.006462,40.726713,-73.993078,40.731628,23-06-2009,13:10:00,UTC,Tuesday
-73.980658,40.733873,-73.99154,40.758138,24-06-2009,01:11:00,UTC,Wednesday
-73.996335,40.737142,-73.980721,40.733559,25-06-2009,07:30:50,UTC,Thursday
0,0,0,0,26-06-2009,11:24:00,UTC,Friday
-73.991601,40.744712,-73.983081,40.744682,27-06-2009,01:04:03,UTC,Saturday
-74.00536,40.728867,-74.008913,40.710907,28-06-2009,19:54:00,UTC,Sunday
-74.001821,40.737547,-73.99806,40.722788,29-06-2009,17:11:05,UTC,Monday
0,0,0,0,30-06-2009,12:57:00,UTC,Tuesday
-73.98643,40.760465,-73.98899,40.737075,01-07-2009,07:22:00,UTC,Wednesday
-73.98106,40.73769,-73.994177,40.728412,02-07-2009,16:08:00,UTC,Thursday
-73.969505,40.784843,-73.958732,40.783357,03-07-2009,14:52:00,UTC,Friday
-73.979815,40.751902,-73.979446,40.755481,04-07-2009,20:36:22,UTC,Saturday
-73.985382,40.747858,-73.978377,40.76207,05-07-2009,13:18:00,UTC,Sunday
-73.957954,40.779252,-73.96125,40.758787,06-07-2009,12:15:46,UTC,Monday
-73.991707,40.770505,-73.985459,40.763671,07-07-2009,18:17:23,UTC,Tuesday
-74.000632,40.747473,-73.986672,40.740577,08-07-2009,12:29:00,UTC,Wednesday
-73.969622,40.756973,-73.981152,40.759712,09-07-2009,15:37:00,UTC,Thursday
-73.991875,40.754437,-73.97723,40.774323,10-07-2009,16:15:00,UTC,Friday
0,0,0,0,11-07-2009,20:01:00,UTC,Saturday
-73.988893,40.76016,-73.986445,40.757857,12-07-2009,19:47:00,UTC,Sunday
-73.989258,40.690835,-74.004133,40.72569,13-07-2009,06:11:20,UTC,Monday
-73.98102,40.73776,-73.980668,40.730497,14-07-2009,00:52:00,UTC,Tuesday
-73.976075,40.752422,-73.981082,40.759285,15-07-2009,16:03:00,UTC,Wednesday
-74.010483,40.717667,-73.985771,40.660366,16-07-2009,21:46:34,UTC,Thursday
-73.873027,40.773883,-73.984545,40.769545,17-07-2009,16:10:00,UTC,Friday
-73.976162,40.744988,-73.990002,40.738323,18-07-2009,14:05:00,UTC,Saturday
-73.993717,40.740785,-73.999272,40.676617,19-07-2009,23:05:44,UTC,Sunday
-73.98333,40.73872,-73.933197,40.847225,20-07-2009,03:15:38,UTC,Monday
-73.990173,40.756447,-73.985619,40.762829,21-07-2009,08:08:38,UTC,Tuesday
-73.995199,40.75474,-74.005416,40.751084,22-07-2009,10:15:30,UTC,Wednesday
-73.95774,40.773617,-73.977087,40.758465,23-07-2009,11:42:00,UTC,Thursday
-73.972673,40.759186,-73.969897,40.791367,24-07-2009,20:42:49,UTC,Friday
-73.984267,40.744961,-73.981646,40.759608,25-07-2009,15:39:49,UTC,Saturday
-74.003899,40.725514,-73.976484,40.765537,15-10-2011,10:55:24,UTC,Saturday
-73.97845,40.76292,-74.008482,40.716502,22-11-2013,08:38:09,UTC,Friday
-73.988558,40.7372,-73.958688,40.780748,10-06-2009,21:28:00,UTC,Wednesday
-73.997037,40.737095,-73.986128,40.735043,04-03-2011,18:12:00,UTC,Friday
-73.971114,40.758944,-73.97793,40.736613,31-08-2011,21:14:15,UTC,Wednesday
-73.980822,40.74442,-73.991093,40.748797,01-06-2011,20:30:00,UTC,Wednesday
-73.988877,40.763577,-73.985573,40.760262,14-12-2011,07:53:00,UTC,Wednesday
-73.98666,40.756072,-73.989727,40.751702,18-07-2012,00:16:00,UTC,Wednesday
-73.992253,40.742657,-73.983597,40.755947,29-01-2013,12:26:00,UTC,Tuesday
-73.985582,40.739765,-73.973899,40.760426,06-12-2011,09:09:21,UTC,Tuesday
-73.952825,40.772048,-73.952194,40.781152,06-10-2012,20:31:36,UTC,Saturday
-73.980298,40.783723,-73.979628,40.763179,23-01-2013,07:01:38,UTC,Wednesday
-73.977708,40.746212,-73.975782,40.745055,07-09-2013,03:17:00,UTC,Saturday
-73.974497,40.751603,-73.934927,40.851567,10-11-2013,01:12:19,UTC,Sunday
-73.97151,40.755886,-73.968067,40.801173,04-01-2012,18:07:29,UTC,Wednesday
-73.985427,40.758853,-73.872907,40.774497,31-05-2010,18:06:00,UTC,Monday
-73.979542,40.727498,-73.999315,40.730088,19-03-2011,21:55:00,UTC,Saturday
-74.002113,40.739582,-73.971918,40.791899,19-07-2012,23:53:14,UTC,Thursday
-73.98543,40.736011,-73.982501,40.724802,23-03-2009,12:13:29,UTC,Monday
-73.996148,40.74189,-73.992202,40.739425,16-07-2014,10:57:00,UTC,Wednesday
-74.009137,40.713436,-74.002823,40.723428,22-04-2011,23:21:03,UTC,Friday
-74.003985,40.731677,-73.999765,40.723512,02-01-2012,14:54:00,UTC,Monday
-73.966203,40.7675,-73.980915,40.77424,01-05-2014,09:12:00,UTC,Thursday
-74.003919,40.753019,-73.992368,40.735362,07-11-2011,10:47:40,UTC,Monday
-74.004736,40.715882,-74.017723,40.705141,07-10-2012,17:59:08,UTC,Sunday
-73.991467,40.750575,-73.98575,40.741547,17-01-2014,09:03:00,UTC,Friday
-73.970323,40.75084,-73.998392,40.724862,29-04-2014,18:28:00,UTC,Tuesday
-73.979279,40.723438,-74.004608,40.746948,12-04-2015,10:19:05,UTC,Sunday
-73.954796,40.779335,-73.944931,40.780087,12-05-2015,23:51:42,UTC,Tuesday
-73.995781,40.723411,-74.005004,40.71895,02-08-2009,02:34:11,UTC,Sunday
-74.00163,40.730767,-73.997112,40.737533,31-01-2010,10:53:00,UTC,Sunday
-73.955118,40.768942,-73.963495,40.761887,14-05-2010,08:09:00,UTC,Friday
-73.977788,40.771838,-73.9662,40.778113,21-05-2012,15:20:00,UTC,Monday
-73.9828,40.745287,-74.01425,40.702935,08-12-2014,16:00:01,UTC,Monday
-73.961933,40.795585,-73.962253,40.764817,16-08-2010,01:33:00,UTC,Monday
-73.996601,40.736569,-73.982152,40.744322,04-12-2010,14:26:13,UTC,Saturday
-74.006662,40.73121,-73.92594,40.825588,12-08-2011,04:20:00,UTC,Friday
-73.988425,40.764342,-74.001642,40.745752,06-02-2013,22:16:00,UTC,Wednesday
-73.994128,40.735087,-73.986393,40.751461,11-06-2014,22:24:21,UTC,Wednesday
-73.97383,40.763717,-73.98942,40.771522,19-08-2010,16:33:00,UTC,Thursday
-74.01336,40.702272,-74.01699,40.709245,10-03-2013,15:44:00,UTC,Sunday
-73.95371,40.790813,-73.957015,40.777676,14-06-2013,08:27:43,UTC,Friday
-74.009728,40.705167,-73.970897,40.749307,08-07-2013,21:24:00,UTC,Monday
-73.950688,40.828531,-73.964101,40.80814,21-03-2014,11:00:29,UTC,Friday
-73.995387,40.749482,-73.975789,40.748741,02-10-2014,13:39:56,UTC,Thursday
-73.917399,40.746485,-73.973756,40.763836,31-08-2011,08:21:47,UTC,Wednesday
-73.990815,40.730495,-73.978337,40.751085,19-05-2014,06:26:00,UTC,Monday
-74.007443,40.732547,-73.991112,40.742312,05-04-2012,05:50:00,UTC,Thursday
-73.988747,40.744953,-73.995682,40.744221,04-03-2015,14:55:40,UTC,Wednesday
-74.001135,40.730979,-73.984424,40.76463,27-04-2010,21:40:07,UTC,Tuesday
-73.968881,40.764533,-73.985311,40.748956,22-02-2011,11:09:16,UTC,Tuesday
-73.981056,40.774265,-73.959045,40.780674,03-04-2015,16:21:30,UTC,Friday
-73.992826,40.751271,-73.982786,40.742432,09-01-2009,15:01:20,UTC,Friday
-73.946852,40.775802,-73.96434,40.760703,09-01-2013,14:42:00,UTC,Wednesday
-73.950655,40.783282,-73.984365,40.769802,06-07-2013,17:18:00,UTC,Saturday
-73.976512,40.765277,-73.977672,40.778052,08-10-2013,17:29:00,UTC,Tuesday
-73.984977,40.752122,-74.000925,40.757982,07-12-2014,12:26:00,UTC,Sunday
-73.97921,40.723682,-74.017464,40.711395,17-05-2015,08:02:59,UTC,Sunday
-73.983052,40.722588,-73.988022,40.733738,09-06-2011,00:53:00,UTC,Thursday
-74.002581,40.739572,-73.99458,40.760682,12-11-2014,12:40:29,UTC,Wednesday
-73.993452,40.761447,-73.979662,40.759618,04-06-2010,14:49:00,UTC,Friday
-73.970705,40.761643,-73.992833,40.727647,08-11-2010,20:42:00,UTC,Monday
